Date,inflation
2014-04-30,0.03953491657601482
2014-05-30,0.04190593132271303
2014-06-30,0.02236185911018307
2014-07-31,-0.004689272658514376
2014-08-29,-0.02005910120766563
2014-09-30,0.00904423591364445
2014-10-31,-0.03015840737130615
2014-11-28,-0.06480485572441541
2014-12-31,-0.06800659313940294
2015-01-30,-0.05646914313904272
2015-02-27,0.052090966356846735
2015-03-31,0.07140723800421611
2015-04-30,0.024430727294833865
2015-05-29,0.06113896939100805
2015-06-30,0.042080024482108236
2015-07-31,0.0007889711899613516
2015-08-31,-0.016986943665006304
2015-09-30,-0.01870876465561855
2015-10-30,-0.0053705436623250336
2015-11-30,-0.025365705767919078
2015-12-31,-0.040981669648584074
2016-01-29,0.019832779129572486
2016-02-29,0.009857755796502943
2016-03-31,0.051714962310532187
