,inflation,S&Pyield,unemployment,UMCSENT,homeindex,UMCSENT
200412,-0.04404054526389478,0.3894985577285448,5.4,95.5,0.1018,95.5
200501,0.023153832660936402,-0.30348560519393475,5.3,94.1,0.1046,94.1
200502,0.06932773109243673,0.22684015293979876,5.4,92.6,0.1046,92.6
200503,0.09399477806788425,-0.2294118689812925,5.2,87.7,0.1046,87.7
200504,0.0808290155440412,-0.2413029825801516,5.2,86.9,0.106,86.9
200505,-0.010293360782295924,0.3594245551507891,5.1,96.0,0.106,96.0
200506,0.0041208791208804385,-0.0017125707091900644,5.0,96.5,0.106,96.5
200507,0.05355303810504797,0.43161944632574745,5.0,89.1,0.1063,89.1
200508,0.061517429938482415,-0.13466525849395916,4.9,76.9,0.1063,76.9
200509,0.14688881332879777,0.08338829633712397,5.0,74.2,0.1063,74.2
200510,0.026200873362447474,-0.21288936079583287,5.0,81.6,0.1023,81.6
200511,-0.09451985922574213,0.42223315115671856,5.0,91.5,0.1023,91.5
200512,-0.052702702702703164,-0.01142818790902167,4.9,91.2,0.1023,91.2
200601,0.0916185951815418,0.3056012561836994,4.7,86.7,0.0914,86.7
200602,0.02626704832463478,0.005437891568704778,4.8,88.9,0.0914,88.9
200603,0.06854838709677313,0.1331497255109948,4.7,87.4,0.0914,87.4
200604,0.0982292014700965,0.1458678328552967,4.7,79.1,0.071,79.1
200605,0.05965202982601436,-0.3710029936938106,4.6,84.9,0.071,84.9
200606,0.02572135201978476,0.001039154733390113,4.6,84.7,0.071,84.7
200607,0.03553800592300149,0.06103054557588994,4.7,82.0,0.0455,82.0
200608,0.025590551181101873,0.25529031638817745,4.7,85.4,0.0455,85.4
200609,-0.058929448354886116,0.2947955821501136,4.5,93.6,0.0455,93.6
200610,-0.06514229314031805,0.37809603553865045,4.4,92.1,0.0288,92.1
200611,-0.019847833278200167,0.1975998807338426,4.5,91.7,0.0288,91.7
200612,0.01789264413518943,0.15138939423191822,4.4,96.9,0.0288,96.9
200701,0.03668486352357103,0.16870851282047727,4.6,91.3,0.02,91.3
200702,0.06424033723208744,-0.26215411240233877,4.5,88.4,0.02,88.4
200703,0.10927272906229124,0.11975979476196663,4.4,87.1,0.02,87.1
200704,0.07793284510156262,0.5194882872290902,4.5,88.3,0.0101,88.3
200705,0.07328229479600967,0.39059074451921916,4.4,85.3,0.0101,85.3
200706,0.0232710086832828,-0.21379586642601067,4.6,90.4,0.0101,90.4
200707,-0.003057060319261229,-0.3837825398016306,4.7,83.4,-0.0043,83.4
200708,-0.02198182604932919,0.1543628583786818,4.6,83.4,-0.0043,83.4
200709,0.033062150484806985,0.42952810011959386,4.7,80.9,-0.0043,80.9
200710,0.025669969881978894,0.17786805960373453,4.7,76.1,-0.027,76.1
200711,0.07130451732683074,-0.528521006697773,4.7,75.5,-0.027,75.5
200712,-0.008081347145320272,-0.10354210840762335,5.0,78.4,-0.027,78.4
200801,0.05964009955910665,-0.7339611832312372,5.0,70.8,-0.0553,70.8
200802,0.034882121015149536,-0.41713431327149353,4.9,69.5,-0.0553,69.5
200803,0.10402135809341306,-0.07151548337435809,5.1,62.6,-0.0553,62.6
200804,0.07277263943868206,0.5705603749583865,5.0,59.8,-0.0792,59.8
200805,0.10103260996247254,0.12809017989092464,5.4,56.4,-0.0792,56.4
200806,0.12095547614314661,-1.0315486188336433,5.6,61.2,-0.0792,61.2
200807,0.06299563369408823,-0.11831245312500016,5.8,63.0,-0.0909,63.0
200808,-0.047915133211415384,0.1462855743885605,6.1,70.3,-0.0909,70.3
200809,-0.016602568400266637,-1.0894972053490153,6.1,57.6,-0.0909,57.6
200810,-0.12117624081443168,-2.033094285209039,6.5,55.3,-0.1012,55.3
200811,-0.22984225242694523,-0.8981885109677421,6.8,60.1,-0.1012,60.1
200812,-0.12410502693562542,0.0938589227646478,7.3,61.2,-0.1012,61.2
200901,0.052211112010938976,-1.0278881151397727,7.8,56.3,-0.0849,56.3
200902,0.05968780583439148,-1.3191743708579073,8.3,57.3,-0.0849,57.3
200903,0.029167590936337362,1.0248535394699365,8.7,65.1,-0.0849,65.1
200904,0.02992551578669822,1.127100958345979,9.0,68.7,-0.0726,68.7
200905,0.03466030862390568,0.6369773550646229,9.4,70.8,-0.0726,70.8
200906,0.10311949748367155,0.0023499183636337406,9.5,66.0,-0.0726,66.0
200907,-0.01903668198371511,0.8897007242005994,9.5,65.7,-0.053,65.7
200908,0.02693552587521797,0.4027222708859357,9.6,73.5,-0.053,73.5
200909,0.00749832958004415,0.4286801494615071,9.8,70.6,-0.053,70.6
200910,0.011537248743330508,-0.23714401032498555,10.0,67.4,-0.0251,67.4
200911,0.00848711336226149,0.6883687437764827,9.9,72.5,-0.0251,72.5
200912,-0.021128716660393287,0.21324685426080503,9.9,74.4,-0.0251,74.4
201001,0.041014891317959545,-0.4436909538593685,9.8,73.6,-0.029,73.6
201002,0.0029764380725252337,0.3421642672863756,9.8,73.6,-0.029,73.6
201003,0.0492746346219306,0.705557112382702,9.9,72.2,-0.029,72.2
201004,0.02087356674464047,0.17711075860549297,9.9,73.6,-0.0193,73.6
201005,0.009279406607978657,-0.9837101029240136,9.6,76.0,-0.0193,76.0
201006,-0.011714231506018358,-0.6465893043169815,9.4,67.8,-0.0193,67.8
201007,0.0025730327785984386,0.825334198938628,9.4,68.9,-0.0309,68.9
201008,0.016537379070416414,-0.5693902084834463,9.5,68.2,-0.0309,68.2
201009,0.006972839566583566,1.0506132353282416,9.5,67.7,-0.0309,67.7
201010,0.014964560033989827,0.4422719327649185,9.4,71.6,-0.0399,71.6
201011,0.005055238246417737,-0.027482997587318536,9.8,74.5,-0.0399,74.5
201012,0.02059691381946127,0.7836004858782566,9.3,74.2,-0.0399,74.2
201101,0.05718872370206629,0.27174688776104183,9.1,77.5,-0.052,77.5
201102,0.059136688030172024,0.3834787686354266,9.0,67.5,-0.052,67.5
201103,0.11704173661988992,-0.012567758445822808,9.0,69.8,-0.052,69.8
201104,0.07722632949362751,0.34194456532554085,9.1,74.3,-0.0554,74.3
201105,0.056462876845915666,-0.1620114332031677,9.0,71.5,-0.0554,71.5
201106,-0.012852957731495973,-0.2190895351883646,9.1,63.7,-0.0554,63.7
201107,0.010648335753855598,-0.2576931095034243,9.0,55.8,-0.0363,55.8
201108,0.033086964102596816,-0.6814932895631713,9.0,59.5,-0.0363,59.5
201109,0.018213218434842027,-0.8611438596451215,9.0,60.8,-0.0363,60.8
201110,-0.024718314210971037,1.2926764624297213,8.8,63.7,-0.0247,63.7
201111,-0.010155427580656795,-0.060704582323046985,8.6,69.9,-0.0247,69.9
201112,-0.029571304619851357,0.10239316737772874,8.5,75.0,-0.0247,75.0
201201,0.05279180608685685,0.5229967466220753,8.3,75.3,0.0013,75.3
201202,0.05282567585877729,0.48707356957010095,8.3,76.2,0.0013,76.2
201203,0.09114676887930262,0.37598777436636777,8.2,76.4,0.0013,76.4
201204,0.03623626041792427,-0.08996943251124456,8.2,79.3,0.0263,79.3
201205,-0.01408524270492384,-0.7518087075981317,8.2,73.2,0.0263,73.2
201206,-0.01757059249908899,0.47465978561509825,8.2,72.3,0.0263,72.3
201207,-0.019568964890203766,0.15117088951385238,8.2,74.3,0.0353,74.3
201208,0.06677604641742718,0.23716043616177895,8.1,78.3,0.0353,78.3
201209,0.053539058096281344,0.2908338443577243,7.8,82.6,0.0353,82.6
201210,-0.0046567184849215515,-0.23747291853872898,7.8,82.7,0.0485,82.7
201211,-0.05687211999024422,0.03416060420812084,7.7,72.9,0.0485,72.9
201212,-0.03231255772947872,0.08481876556637413,7.9,73.8,0.0485,73.8
201301,0.03552288370442813,0.6051371582349416,8.0,77.6,0.0656,77.6
201302,0.09826939859499184,0.1327277903431101,7.7,78.6,0.0656,78.6
201303,0.03135159540280075,0.4318526822034734,7.5,76.4,0.0656,76.4
201304,-0.012442562858175243,0.21702921431102773,7.6,84.5,0.0702,84.5
201305,0.021310409282173204,0.24915374065255325,7.5,84.1,0.0702,84.1
201306,0.028804897692453757,-0.17999161963275334,7.5,85.1,0.0702,85.1
201307,0.0047693048909689395,0.5935449577826999,7.3,82.1,0.074,82.1
201308,0.014439422022977766,-0.37557622840640237,7.2,77.5,0.074,77.5
201309,0.013925346099662228,0.35699427812686935,7.2,73.2,0.074,73.2
201310,-0.030880830788444502,0.535149031416073,7.2,75.1,0.069,75.1
201311,-0.02452826682637621,0.3365936596222374,6.9,82.5,0.069,82.5
201312,-0.0010484537455730525,0.2827534986059135,6.7,81.2,0.069,81.2
201401,0.04469209723396084,-0.42699486810195175,6.6,81.6,0.0604,81.6
201402,0.044355011345633244,0.5174043597191433,6.7,80.0,0.0604,80.0
201403,0.07729276269017671,0.08318598729522897,6.7,84.1,0.0604,84.1
201404,0.03953491657601482,0.07440946758063394,6.2,81.9,0.0485,81.9
201405,0.04190593132271303,0.25236336015595207,6.3,82.5,0.0485,82.5
201406,0.02236185911018307,0.22869997990704682,6.1,81.8,0.0485,81.8
201407,-0.004689272658514376,-0.180957966983037,6.2,82.5,0.0435,82.5
201408,-0.02005910120766563,0.4518635458768214,6.1,84.6,0.0435,84.6
201409,0.00904423591364445,-0.18616604667676517,5.9,86.9,0.0435,86.9
201410,-0.03015840737130615,0.27841752944126785,5.7,88.8,0.0465,88.8
201411,-0.06480485572441541,0.29440306512437786,5.8,93.6,0.0465,93.6
201412,-0.06800659313940294,-0.05026305453504509,5.6,98.1,0.0465,98.1
201501,-0.05646914313904272,-0.37248966948564366,5.7,95.4,0.0478,95.4
201502,0.052090966356846735,0.65871013217465,5.5,93.0,0.0478,93.0
201503,0.07140723800421611,-0.20875328296507512,5.4,95.9,0.0478,95.9
201504,0.024430727294833865,0.10224983676149701,5.4,90.7,0.0519,90.7
201505,0.06113896939100805,0.1258965887198018,5.6,96.1,0.0519,96.1
201506,0.042080024482108236,-0.25214006851080617,5.3,93.1,0.0519,93.1
201507,0.0007889711899613516,0.23690435636065743,5.2,91.9,0.0536,91.9
201508,-0.016986943665006304,-0.7509698180064341,5.1,87.2,0.0536,87.2
201509,-0.01870876465561855,-0.3173139788787256,5.0,90.0,0.0536,90.0
201510,-0.0053705436623250336,0.9957974131247296,5.0,91.3,0.0548,91.3
201511,-0.025365705767919078,0.006058431128689534,5.1,92.6,0.0548,92.6
201512,-0.040981669648584074,-0.21036222211577327,5.0,92.0,0.0548,92.0
201601,0.019832779129572486,-0.608823863675358,4.8,91.7,0.0545,91.7
201602,0.009857755796502943,-0.04954032516358753,4.9,91.0,0.0545,91.0
201603,0.051714962310532187,0.7918933749283807,5.0,89.0,0.0545,89.0
201604,0.05685936139759651,0.03239278177047833,5.1,94.7,0.0558,94.7
201605,0.04855459392035044,0.18389522829087124,4.8,93.5,0.0558,93.5
201606,0.03940418471440932,0.010931053451737505,4.9,90.0,0.0558,90.0
201607,-0.01937998454255041,0.4273176135030523,4.8,89.8,0.0583,89.8
201608,0.010987547446227985,-0.014630917632576512,4.9,91.2,0.0583,91.2
201609,0.02884087620378395,-0.014813410131904625,5.0,87.2,0.0583,87.2
201610,0.014983199900445499,-0.2331081513546902,4.9,93.8,0.0597,93.8
201611,-0.01867664301013905,0.41009426625084533,4.7,98.2,0.0597,98.2
201612,0.003950283961239087,0.21840914636274178,4.7,98.5,0.0597,98.5
201701,0.06993683837925602,0.21461229805757664,4.7,96.3,0.0596,96.3
201702,0.03774337092182378,0.4463779240473462,4.6,96.9,0.0596,96.9
201703,0.009751592033735434,-0.0046703662570140025,4.4,97.0,0.0596,97.0
201704,0.03558987840946237,0.10909450259181863,4.5,97.1,0.0635,97.1
201705,0.010222720980332056,0.13891501669609596,4.4,95.0,0.0635,95.0
201706,0.010885133199656671,0.05776530109026545,4.3,93.4,0.0635,93.4
201707,-0.008275016183434847,0.23218591341636685,4.3,96.8,0.0642,96.8
201708,0.03595406324282191,0.006557193733026878,4.4,95.1,0.0642,95.1
201709,0.06351891181917235,0.23163574239892437,4.2,100.7,0.0642,100.7
201710,-0.0075633082169832555,0.2662576239641963,4.1,98.5,0.0633,98.5
201711,0.0003085697117182207,0.33699153197350284,4.2,95.9,0.0633,95.9
201712,-0.00706444069117973,0.11797956579124858,4.1,95.7,0.0633,95.7
201801,0.06535613160599407,0.674144453329597,4.0,99.7,0.0694,99.7
201802,0.05441623490402048,-0.46736846474276295,4.1,101.4,0.0694,101.4
201803,0.027157693204945765,-0.3226139834978987,4.0,98.8,0.0694,98.8
201804,0.0476754856505357,0.03262530157971977,4.0,98.0,0.0647,98.0
201805,0.049933113398105355,0.2593001035835032,3.8,98.2,0.0647,98.2
201806,0.01912301117101123,0.05810923229024123,4.0,97.9,0.0647,97.9
201807,0.0007948620119568872,0.43225867465640455,3.8,96.2,0.0617,96.2
201808,0.006660502478481156,0.36315853759265515,3.8,100.1,0.0617,100.1
201809,0.013933222739591855,0.05153144523193731,3.7,98.6,0.0617,98.6
201810,0.021232646648877918,-0.8328402722931538,3.8,97.5,0.0569,97.5
201811,-0.040235924026972736,0.21431228146618775,3.8,98.3,0.0569,98.3
201812,-0.03827325322652442,-1.1013227351587669,3.9,91.2,0.0569,91.2
201901,0.022849276625601433,0.9442128198604411,4.0,93.8,0.0508,93.8
201902,0.05072034184905494,0.3567466695162276,3.8,98.4,0.0508,98.4
201903,0.06771755035631077,0.21509107454180576,3.8,97.2,0.0508,97.2
201904,0.06350815586025416,0.47176198074819187,3.7,100.0,0.0517,100.0
201905,0.025567369076966884,-0.7893327742714424,3.7,98.2,0.0517,98.2
201906,0.002393311242566476,0.8271619671073456,3.6,98.4,0.0517,98.4
201907,0.020018480602534083,0.1575378257997304,3.6,89.8,0.0506,89.8
201908,-0.0005933088810277098,-0.2170995273759182,3.7,93.2,0.0506,93.2
201909,0.009415340655508864,0.206174133950503,3.5,95.5,0.0506,95.5
201910,0.02744378107382861,0.24518124876603675,3.6,96.8,0.0536,96.8
201911,-0.006428891094117706,0.40856444906263434,3.6,99.3,0.0536,99.3
201912,-0.010917841039765008,0.3430778275766029,3.6,99.8,0.0536,99.8
202001,0.04656389284744833,-0.019537110986642237,3.5,101.0,0.0615,101.0
202002,0.032889560644331794,-1.0093258041535886,3.5,89.1,0.0615,89.1
202003,-0.026125133245406662,-1.5014313895178795,4.4,71.8,0.0615,71.8
202004,-0.08023807583817355,1.522128459079659,14.8,72.3,0.0576,72.3
202005,0.00023436615023619822,0.5433818361127871,13.3,78.1,0.0576,78.1
202006,0.06563686455463635,0.2206607562899361,11.1,72.5,0.0576,72.5
202007,0.06071130276013381,0.6612158572948283,10.2,74.1,0.0808,74.1
202008,0.03783279563796782,0.8407760050469575,8.4,80.4,0.0808,80.4
202009,0.016722343594068434,-0.4707356434791783,7.8,81.8,0.0808,81.8
202010,0.0049866356113517085,-0.3319894344335417,6.9,76.9,0.1077,76.9
202011,-0.0073383862729627936,1.2905476257603619,6.7,80.7,0.1077,80.7
202012,0.011268313896434456,0.4454575072877507,6.7,79.0,0.1077,79.0
