Movie,"Release
Date",Theatrical Distributor,MPAA/Rating,Gross,Tickets Sold,Genre
Battle of the Year,20-Sep-13,Sony Pictures,PG-13,"$8,888,355 ","1,093,278",Drama
The Citizen,20-Sep-13,Monterey Media,PG-13,"$24,296 ","2,988",Drama
My Son,20-Sep-13,FlyRock Media,R,"$12,891 ","1,585",Drama
I Spit on Your Grave 2,20-Sep-13,Anchor Bay Entert…,R,$810 ,99,Horror
I Spit on Your Grave 2,20-Sep-13,Anchor Bay Entert�,R,$810 ,99,Horror
Prisoners,20-Sep-13,Warner Bros.,R,"$61,002,302 ","7,503,358",Thriller/Suspense
A Single Shot,20-Sep-13,TriBeca Films,Not Rated,"$18,642 ","2,292",Thriller/Suspense
Cloudy with a Chance of Mea…,27-Sep-13,Sony Pictures,PG,"$117,614,237 ","14,466,695",Adventure
Di Renjie zhi shendu longwang,27-Sep-13,AMC Independent,Not Rated,"$87,783 ","10,797",Adventure
Cloudy with a Chance of Mea…,27-Sep-13,Sony Pictures,PG,"$2,179,330 ","266,747",Adventure
I Used to Be Darker,27-Sep-13,Strand,Not Rated,"$16,987 ","2,089",Drama
Morning,27-Sep-13,Anchor Bay Entert…,R,"$4,029 ",495,Drama
On The Job,27-Sep-13,Well Go USA,Not Rated,"$161,217 ","19,829",Thriller/Suspense
We Are What We Are,27-Sep-13,Entertainment One,R,"$81,381 ","10,009",Thriller/Suspense
La marque des anges,27-Sep-13,Mongrel Media,Not Rated,"$1,329 ",163,Thriller/Suspense
Murder Eleven,1-Oct-13,Indican Pictures,R,"$22,107 ","2,705",Thriller/Suspense
A.C.O.D.,4-Oct-13,Film Arcade,R,"$157,690 ","19,396",Comedy
All is Bright,4-Oct-13,Anchor Bay Entert…,R,"$4,556 ",560,Comedy
Grace Unplugged,4-Oct-13,Roadside Attractions,PG,"$2,507,159 ","308,383",Drama
Parkland,4-Oct-13,Exclusive Releasing,PG-13,"$641,439 ","78,897",Drama
Gwansang,4-Oct-13,Pan Media & Enter…,Not Rated,"$484,112 ","59,546",Drama
Tian zhu ding,4-Oct-13,Kino Lorber,Not Rated,"$103,927 ","12,783",Drama
Concussion,4-Oct-13,Radius,R,"$38,361 ","4,718",Drama
Five Dances,4-Oct-13,Paladin,Not Rated,"$5,788 ",711,Drama
Tian zhu ding,4-Oct-13,Kino Lorber,Not Rated,"$50,193 ","6,143",Drama
Nothing Left to Fear,4-Oct-13,Anchor Bay Entert…,R,"$7,886 ",969,Horror
Argento's Dracula 3D,4-Oct-13,IFC Midnight,Not Rated,"$4,556 ",560,Horror
Nothing Left to Fear,4-Oct-13,Anchor Bay Entert�,R,"$7,886 ",969,Horror
Argento's Dracula 3D,4-Oct-13,IFC Midnight,Not Rated,"$4,556 ",560,Horror
Gravity,4-Oct-13,Warner Bros.,PG-13,"$255,621,667 ","31,441,779",Thriller/Suspense
Runner Runner,4-Oct-13,20th Century Fox,R,"$19,316,646 ","2,375,971",Thriller/Suspense
Gravity,4-Oct-13,Warner Bros.,PG-13,"$18,471,038 ","2,260,836",Thriller/Suspense
The Saratov Approach,9-Oct-13,Purdie Distribution,PG-13,"$1,573,124 ","193,496",Thriller/Suspense
The Saratov Approach,9-Oct-13,Purdie Distribution,PG-13,"$573,874 ","70,241",Thriller/Suspense
Machete Kills,11-Oct-13,Open Road,R,"$8,008,161 ","985,013",Action
Zero Charisma,11-Oct-13,TriBeca Films,Not Rated,"$9,417 ","1,158",Comedy
Ghost Team One,11-Oct-13,Film Arcade,R,"$9,195 ","1,130",Comedy
Captain Phillips,11-Oct-13,Sony Pictures,PG-13,"$104,834,734 ","12,894,801",Drama
La Vie d'Adèle – Chapitres …,11-Oct-13,Mongrel Media,NC-17,"$2,426,783 ","298,497",Drama
Romeo & Juliet,11-Oct-13,Relativity,R,"$1,162,635 ","143,005",Drama
The Inevitable Defeat of Mi…,11-Oct-13,Codeblack Enterta…,R,"$494,608 ","60,837",Drama
Escape from Tomorrow,11-Oct-13,Producers Distrib…,Not Rated,"$171,962 ","21,151",Drama
As I Lay Dying,11-Oct-13,Alchemy,R,"$15,009 ","1,846",Drama
Captain Phillips,11-Oct-13,Sony Pictures,PG-13,"$2,301,683 ","281,723",Drama
La Vie d'Adèle – Chapitres …,11-Oct-13,Mongrel Media,NC-17,"$23,721 ","2,903",Drama
Cassadaga,11-Oct-13,Archstone Enterta…,R,"$2,241 ",275,Horror
Cassadaga,11-Oct-13,Archstone Enterta�,R,"$2,241 ",275,Horror
Sweetwater,11-Oct-13,,R,"$6,147 ",756,Thriller/Suspense
Camille Claudel: 1915,16-Oct-13,Kino Lorber,Not Rated,"$28,355 ","3,487",Drama
Camille Claudel: 1915,16-Oct-13,Kino Lorber,Not Rated,"$6,941 ",849,Drama
12 Years a Slave,18-Oct-13,Fox Searchlight,R,"$38,472,086 ","4,732,113",Drama
The Fifth Estate,18-Oct-13,Walt Disney,R,"$3,254,172 ","400,267",Drama
I'm in Love with a Church Girl,18-Oct-13,High Top Releasing,PG,"$2,387,730 ","293,693",Drama
Kill Your Darlings,18-Oct-13,Sony Pictures Cla…,R,"$760,506 ","93,543",Drama
Seasons of Gray,18-Oct-13,Echolight Studios,PG-13,"$70,594 ","8,683",Drama
Torn,18-Oct-13,The Film Collective,Not Rated,"$16,772 ","2,062",Drama
12 Years a Slave,18-Oct-13,Fox Searchlight,R,"$18,199,907 ","2,227,650",Drama
Kill Your Darlings,18-Oct-13,Sony Pictures Cla…,R,"$269,443 ","32,979",Drama
Carrie,18-Oct-13,Sony Pictures,R,"$35,266,619 ","4,337,837",Horror
Carrie,18-Oct-13,Sony Pictures,R,"$35,266,619 ","4,337,837",Horror
Escape Plan,18-Oct-13,Lionsgate,R,"$25,063,555 ","3,082,848",Thriller/Suspense
All is Lost,18-Oct-13,Roadside Attractions,PG-13,"$6,047,207 ","743,813",Thriller/Suspense
All is Lost,18-Oct-13,Roadside Attractions,PG-13,"$216,463 ","26,494",Thriller/Suspense
Escape Plan,18-Oct-13,Lionsgate,R,"$72,410 ","8,862",Thriller/Suspense
Jackass Presents: Bad Grandpa,25-Oct-13,Paramount Pictures,R,"$101,625,444 ","12,500,054",Comedy
Jackass Presents: Bad Grandpa,25-Oct-13,Paramount Pictures,R,"$377,575 ","46,214",Comedy
Les beaux jours,25-Oct-13,Mongrel Media,Not Rated,"$82,510 ","10,148",Drama
Le Capital,25-Oct-13,Cohen Media Group,R,"$22,400 ","2,755",Drama
Les beaux jours,25-Oct-13,Mongrel Media,Not Rated,"$4,919 ",602,Drama
The Counselor,25-Oct-13,20th Century Fox,R,"$16,960,224 ","2,086,128",Thriller/Suspense
The Counselor,25-Oct-13,20th Century Fox,R,"$13,491 ","1,651",Thriller/Suspense
Ender's Game,1-Nov-13,Lionsgate,PG-13,"$61,656,849 ","7,583,868",Adventure
Free Birds,1-Nov-13,Relativity,PG,"$54,894,525 ","6,752,094",Adventure
Free Birds,1-Nov-13,Relativity,PG,"$855,955 ","104,768",Adventure
Ender's Game,1-Nov-13,Lionsgate,PG-13,"$80,342 ","9,833",Adventure
Nosotros Los Nobles,1-Nov-13,Lionsgate,PG-13,"$19,700 ","2,423",Comedy
Dallas Buyers Club,1-Nov-13,Focus Features,R,"$16,300,843 ","2,005,023",Drama
Diana,1-Nov-13,Entertainment One,PG-13,"$335,360 ","41,249",Drama
The Broken Circle Breakdown,1-Nov-13,TriBeca Films,Not Rated,"$101,700 ","12,509",Drama
Sal,1-Nov-13,TriBeca Films,Not Rated,"$6,883 ",846,Drama
Big Sur,1-Nov-13,Ketchup Entertain…,R,"$4,734 ",582,Drama
Mr. Nobody,1-Nov-13,Magnolia Pictures,R,"$3,622 ",445,Drama
A Perfect Man,1-Nov-13,IFC Films,R,$388 ,47,Drama
Dallas Buyers Club,1-Nov-13,Focus Features,R,"$10,997,442 ","1,346,076",Drama
The Broken Circle Breakdown,1-Nov-13,TriBeca Films,Not Rated,"$73,338 ","8,976",Drama
Thor: The Dark World,8-Nov-13,Walt Disney,PG-13,"$203,449,204 ","25,024,502",Action
Thor: The Dark World,8-Nov-13,Walt Disney,PG-13,"$2,912,936 ","356,540",Action
Boule et Bill,8-Nov-13,Distrib Films,Not Rated,"$56,224 ","6,915",Adventure
Best Man Down,8-Nov-13,Magnolia Pictures,PG-13,"$1,938 ",238,Comedy
The Book Thief,8-Nov-13,20th Century Fox,PG-13,"$19,091,819 ","2,348,317",Drama
Great Expectations,8-Nov-13,Main Street,PG-13,"$258,656 ","31,815",Drama
How I Live Now,8-Nov-13,Magnolia Pictures,R,"$60,360 ","7,424",Drama
The Book Thief,8-Nov-13,20th Century Fox,PG-13,"$2,396,662 ","293,349",Drama
Go For Sisters,8-Nov-13,Variance Films,Not Rated,"$62,107 ","7,639",Thriller/Suspense
Go For Sisters,8-Nov-13,Variance Films,Not Rated,"$8,388 ","1,026",Thriller/Suspense
The Christmas Candle,15-Nov-13,Echolight Studios,PG,"$1,632,000 ","200,738",Adventure
The Best Man Holiday,15-Nov-13,Universal,R,"$70,492,685 ","8,670,686",Comedy
The Best Man Holiday,15-Nov-13,Universal,R,"$32,510 ","3,979",Comedy
Nebraska,15-Nov-13,Paramount Pictures,R,"$7,003,296 ","861,414",Drama
La grande bellezza,15-Nov-13,Janus Films,Not Rated,"$948,906 ","116,716",Drama
Nebraska,15-Nov-13,Paramount Pictures,R,"$10,651,616 ","1,303,747",Drama
La grande bellezza,15-Nov-13,Janus Films,Not Rated,"$1,934,973 ","236,838",Drama
The Hunger Games: Catching …,22-Nov-13,Lionsgate,PG-13,"$407,139,699 ","50,078,683",Adventure
The Hunger Games: Catching …,22-Nov-13,Lionsgate,PG-13,"$17,528,348 ","2,145,452",Adventure
Delivery Man,22-Nov-13,Walt Disney,PG-13,"$29,866,438 ","3,673,608",Comedy
Delivery Man,22-Nov-13,Walt Disney,PG-13,"$793,379 ","97,108",Comedy
Philomena,22-Nov-13,Weinstein Co.,PG-13,"$19,586,311 ","2,409,140",Drama
Elle s'en va,22-Nov-13,Mongrel Media,Not Rated,"$59,028 ","7,260",Drama
Empire of Dirt,22-Nov-13,Mongrel Media,Not Rated,"$9,635 ","1,185",Drama
Philomena,22-Nov-13,Weinstein Co.,PG-13,"$18,123,668 ","2,218,319",Drama
Elle s'en va,22-Nov-13,Mongrel Media,Not Rated,"$252,344 ","30,886",Drama
Contracted,22-Nov-13,Arclight Films,Not Rated,"$3,328 ",409,Horror
Contracted,22-Nov-13,Arclight Films,Not Rated,"$3,328 ",409,Horror
Homefront,27-Nov-13,Open Road,R,"$20,158,492 ","2,479,519",Action
Oldboy,27-Nov-13,FilmDistrict,R,"$2,193,658 ","269,822",Action
Sou Suo,27-Nov-13,levelFILM,Not Rated,"$1,037 ",127,Drama
Mandela: Long Walk to Freedom,29-Nov-13,Weinstein Co.,PG-13,"$7,061,587 ","868,583",Drama
Violette,29-Nov-13,Mongrel Media,Not Rated,"$65,635 ","8,073",Drama
Mandela: Long Walk to Freedom,29-Nov-13,Weinstein Co.,PG-13,"$1,261,498 ","154,406",Drama
Violette,29-Nov-13,Mongrel Media,Not Rated,"$4,981 ",609,Drama
Breakfast with Curtis,4-Dec-13,,Not Rated,"$6,629 ",815,Comedy
Out of the Furnace,4-Dec-13,Relativity,R,"$11,187,536 ","1,376,080",Drama
Out of the Furnace,4-Dec-13,Relativity,R,"$143,313 ","17,541",Drama
Gekijoban Mahou Shojo Madok…,6-Dec-13,Eleven Arts,Not Rated,"$190,478 ","23,429",Adventure
Inside Llewyn Davis,6-Dec-13,CBS Films,R,"$7,757,978 ","954,240",Drama
Diego Star,6-Dec-13,Mongrel Media,Not Rated,"$11,000 ","1,353",Drama
Inside Llewyn Davis,6-Dec-13,CBS Films,R,"$5,490,231 ","671,998",Drama
The Last Days on Mars,6-Dec-13,Magnolia Pictures,R,"$23,376 ","2,875",Thriller/Suspense
The Last Days on Mars,6-Dec-13,Magnolia Pictures,R,$708 ,86,Thriller/Suspense
A Zombie Invasion,12-Dec-13,Afterlight Pictures,Not Rated,"$1,170 ",143,Horror
A Zombie Invasion,12-Dec-13,Afterlight Pictures,Not Rated,"$1,170 ",143,Horror
The Hobbit: The Desolation …,13-Dec-13,Warner Bros.,PG-13,"$228,934,309 ","28,159,201",Adventure
The Hobbit: The Desolation …,13-Dec-13,Warner Bros.,PG-13,"$29,307,213 ","3,587,174",Adventure
Tyler Perry's A Madea Chris…,13-Dec-13,Lionsgate,PG-13,"$50,227,277 ","6,178,016",Comedy
Tyler Perry's A Madea Chris…,13-Dec-13,Lionsgate,PG-13,"$2,316,077 ","283,485",Comedy
Saving Mr. Banks,13-Dec-13,Walt Disney,PG-13,"$58,958,280 ","7,251,940",Drama
Marius,13-Dec-13,Mongrel Media,Not Rated,"$85,572 ","10,525",Drama
Some Velvet Morning,13-Dec-13,TriBeca Films,Not Rated,"$6,420 ",789,Drama
Saving Mr. Banks,13-Dec-13,Walt Disney,PG-13,"$24,341,481 ","2,979,373",Drama
Marius,13-Dec-13,Mongrel Media,Not Rated,"$25,728 ","3,149",Drama
Ahí va el diablo,13-Dec-13,Magnolia Pictures,R,"$3,271 ",402,Horror
Ahí va el diablo,13-Dec-13,Magnolia Pictures,R,"$1,263 ",154,Horror
Ah� va el diablo,13-Dec-13,Magnolia Pictures,R,"$3,271 ",402,Horror
Ah� va el diablo,13-Dec-13,Magnolia Pictures,R,"$1,263 ",154,Horror
Anchorman 2: The Legend Con…,18-Dec-13,Paramount Pictures,PG-13,"$108,773,941 ","13,379,328",Comedy
Anchorman 2: The Legend Con…,18-Dec-13,Paramount Pictures,PG-13,"$18,639,235 ","2,281,424",Comedy
Dhoom 3,20-Dec-13,Yash Raj Films,Not Rated,"$7,846,872 ","965,174",Action
Dhoom 3,20-Dec-13,Yash Raj Films,Not Rated,"$185,083 ","22,653",Action
Walking with Dinosaurs,20-Dec-13,20th Century Fox,PG,"$31,344,185 ","3,855,373",Adventure
Walking with Dinosaurs,20-Dec-13,20th Century Fox,PG,"$4,731,936 ","579,184",Adventure
Si Ren Ding Zhi,20-Dec-13,China Lion Film D…,Not Rated,"$345,000 ","42,435",Comedy
Si Ren Ding Zhi,20-Dec-13,China Lion Film D…,Not Rated,"$24,225 ","2,965",Comedy
Fanny,20-Dec-13,Mongrel Media,Not Rated,"$596,197 ","73,332",Drama
Le passé,20-Dec-13,Sony Pictures Cla…,PG-13,"$160,213 ","19,706",Drama
The Selfish Giant,20-Dec-13,IFC Films,Not Rated,"$10,531 ","1,295",Drama
Le passé,20-Dec-13,Sony Pictures Cla…,PG-13,"$1,175,459 ","143,875",Drama
Fanny,20-Dec-13,Mongrel Media,Not Rated,"$27,803 ","3,403",Drama
The Selfish Giant,20-Dec-13,IFC Films,Not Rated,"$11,117 ","1,360",Drama
47 Ronin,25-Dec-13,Universal,PG-13,"$32,687,680 ","4,020,624",Action
Lone Survivor,25-Dec-13,Universal,R,"$326,685 ","40,182",Action
Lone Survivor,25-Dec-13,Universal,R,"$124,768,916 ","15,271,593",Action
47 Ronin,25-Dec-13,Universal,PG-13,"$5,674,795 ","694,589",Action
The Secret Life of Walter M…,25-Dec-13,20th Century Fox,PG,"$45,470,954 ","5,592,983",Adventure
The Secret Life of Walter M…,25-Dec-13,20th Century Fox,PG,"$12,765,884 ","1,562,531",Adventure
Grudge Match,25-Dec-13,Warner Bros.,PG-13,"$24,846,211 ","3,056,114",Comedy
Grudge Match,25-Dec-13,Warner Bros.,PG-13,"$4,971,780 ","608,541",Comedy
The Invisible Woman,25-Dec-13,Sony Pictures Cla…,R,"$116,840 ","14,371",Drama
The Invisible Woman,25-Dec-13,Sony Pictures Cla…,R,"$1,116,507 ","136,659",Drama
Interior. Leather Bar.,2-Jan-14,Strand,Not Rated,"$40,862 ","5,001",Drama
Autoreiji: Biyondo,3-Jan-14,Magnolia Pictures,R,"$3,878 ",474,Action
La migiliore offerta,3-Jan-14,IFC Films,R,"$2,595 ",319,Drama
Le metis de Dieu,3-Jan-14,Film Movement,Not Rated,"$133,672 ","16,361",Drama
La migiliore offerta,3-Jan-14,IFC Films,R,"$86,124 ","10,541",Drama
Paranormal Activity: The Ma…,3-Jan-14,Paramount Pictures,R,"$18,343,611 ","2,256,286",Horror
Paranormal Activity: The Ma…,3-Jan-14,Paramount Pictures,R,"$14,118,761 ","1,728,122",Horror
Paranormal Activity: The Ma�,3-Jan-14,Paramount Pictures,R,"$18,343,611 ","2,256,286",Horror
Paranormal Activity: The Ma�,3-Jan-14,Paramount Pictures,R,"$14,118,761 ","1,728,122",Horror
Raze,10-Jan-14,IFC Midnight,R,"$3,453 ",422,Action
The Legend of Hercules,10-Jan-14,Lionsgate,PG-13,"$18,848,538 ","2,307,042",Adventure
Her,10-Jan-14,Warner Bros.,R,"$25,568,251 ","3,129,528",Drama
The Rocket,10-Jan-14,Kino Lorber,Not Rated,"$56,823 ","6,955",Drama
Grzeli nateli dgeebi,10-Jan-14,Big World Pictures,Not Rated,"$56,092 ","6,865",Drama
The Truth About Emanuel,10-Jan-14,TriBeca Films,Not Rated,"$4,404 ",539,Drama
Cold Comes the Night,10-Jan-14,Stage 6 Samuel Go�,R,"$16,971 ","2,077",Thriller/Suspense
Truth,10-Jan-14,Left of Center En�,Not Rated,"$1,626 ",199,Thriller/Suspense
"Unsere Mutter, unsere Vater",15-Jan-14,Music Box Films,Not Rated,"$91,595 ","11,211",Drama
Jack Ryan: Shadow Recruit,17-Jan-14,Paramount Pictures,PG-13,"$50,577,412 ","6,190,625",Action
The Nut Job,17-Jan-14,Open Road,PG,"$64,251,538 ","7,864,325",Adventure
Ride Along,17-Jan-14,Universal,PG-13,"$134,202,565 ","16,426,262",Comedy
Soshite chichi ni naru,17-Jan-14,IFC Films,Not Rated,"$333,678 ","40,841",Drama
Life of a King,17-Jan-14,Alchemy,PG-13,"$4,304 ",526,Drama
Summer in February,17-Jan-14,TriBeca Films,Not Rated,"$1,624 ",198,Drama
Devil's Due,17-Jan-14,20th Century Fox,R,"$15,821,461 ","1,936,531",Horror
Devil's Due,17-Jan-14,20th Century Fox,R,"$15,821,461 ","1,936,531",Horror
Big Bad Wolves,17-Jan-14,Magnet Pictures,Not Rated,"$32,828 ","4,018",Thriller/Suspense
Knights of Badassdom,21-Jan-14,Entertainment One,R,"$113,531 ","13,896",Comedy
"I, Frankenstein",24-Jan-14,Lionsgate,PG-13,"$19,075,290 ","2,334,796",Action
Jai Ho,24-Jan-14,Eros Entertainment,Not Rated,"$1,187,266 ","145,320",Action
Gloria,24-Jan-14,Roadside Attractions,R,"$2,110,357 ","258,305",Drama
Gimme Shelter,24-Jan-14,Roadside Attractions,PG-13,"$1,359,910 ","166,451",Drama
L'inconnu du lac,24-Jan-14,Strand,Not Rated,"$323,070 ","39,543",Drama
Run & Jump,24-Jan-14,Sundance Selects,Not Rated,"$11,805 ","1,444",Drama
Labor Day,31-Jan-14,Paramount Pictures,PG-13,"$13,371,528 ","1,636,661",Drama
At Middleton,31-Jan-14,Anchor Bay Entert…,R,"$53,837 ","6,589",Drama
The Wait,31-Jan-14,Monterey Media,R,"$2,109 ",258,Drama
The Disappearance of Eleano…,3-Feb-14,Weinstein Co.,R,"$587,152 ","71,866",Drama
The Interview,6-Feb-14,Sony Pictures,R,"$3,552,778 ","434,856",Comedy
The Interview,6-Feb-14,Sony Pictures,R,"$2,552,397 ","302,775",Comedy
The Lego Movie,7-Feb-14,Warner Bros.,PG,"$257,784,718 ","31,552,597",Adventure
The Pretty One,7-Feb-14,Dada Films,R,"$13,769 ","1,685",Comedy
Love & Air Sex,7-Feb-14,TriBeca Films,Not Rated,"$6,047 ",740,Comedy
Demi-Soeur,7-Feb-14,Rialto Pictures,Not Rated,$943 ,115,Comedy
The Monuments Men,7-Feb-14,Sony Pictures,PG-13,"$78,031,620 ","9,550,993",Drama
Vampire Academy,7-Feb-14,Weinstein Co.,PG-13,"$7,791,979 ","953,730",Drama
"Alphaville, une étrange ave…",7-Feb-14,Rialto Pictures,Not Rated,"$43,729 ","5,352",Drama
Jimmy P.,7-Feb-14,Mongrel Media,Not Rated,"$24,791 ","3,034",Drama
Jimmy P.,7-Feb-14,Mongrel Media,Not Rated,$483 ,57,Drama
A Field in England,7-Feb-14,Drafthouse Films,Not Rated,"$32,846 ","4,020",Thriller/Suspense
RoboCop,12-Feb-14,Sony Pictures,PG-13,"$58,607,007 ","7,173,440",Action
Adult World,14-Feb-14,IFC Films,R,"$19,731 ","2,415",Comedy
Endless Love,14-Feb-14,Universal,PG-13,"$23,438,250 ","2,868,818",Drama
Winter’s Tale,14-Feb-14,Warner Bros.,PG-13,"$12,600,231 ","1,542,255",Drama
Bei Jing Ai Qing Gu Shi,14-Feb-14,China Lion Film D…,Not Rated,"$423,598 ","51,847",Drama
"Je t'aime, je t'aime",14-Feb-14,The Film Desk,Not Rated,"$67,503 ","8,262",Drama
Pozitia copiului,19-Feb-14,Zeitgeist,Not Rated,"$218,224 ","26,710",Drama
Black Out,21-Feb-14,Music Box Films,Not Rated,"$2,734 ",334,Action
Pompeii,21-Feb-14,Sony Pictures,PG-13,"$23,169,033 ","2,835,866",Drama
Kaze Tachinu,21-Feb-14,Walt Disney,PG-13,"$5,201,879 ","636,704",Drama
Highway,21-Feb-14,UTV Communications,Not Rated,"$529,136 ","64,765",Drama
Au bonheur des ogres,21-Feb-14,Mongrel Media,Not Rated,"$17,221 ","2,107",Drama
Almost Human,21-Feb-14,IFC Films,Not Rated,"$5,710 ",698,Horror
Almost Human,21-Feb-14,IFC Films,Not Rated,"$5,710 ",698,Horror
3 Days to Kill,21-Feb-14,Relativity,PG-13,"$30,697,999 ","3,757,405",Thriller/Suspense
Omar,21-Feb-14,Adopt Films,Not Rated,"$583,000 ","71,358",Thriller/Suspense
In Secret,21-Feb-14,Roadside Attractions,R,"$444,179 ","54,367",Thriller/Suspense
Anita Ho,27-Feb-14,Indican Pictures,Not Rated,"$3,050 ",361,Comedy
Non-Stop,28-Feb-14,Universal,PG-13,"$91,742,160 ","11,229,150",Action
Son of God,28-Feb-14,20th Century Fox,PG-13,"$59,700,064 ","7,307,229",Drama
The Lunchbox,28-Feb-14,Sony Pictures Cla…,PG,"$4,231,500 ","517,931",Drama
Stalingrad,28-Feb-14,Sony Pictures Cla…,R,"$1,013,945 ","124,105",Drama
Zwei Leben,28-Feb-14,IFC Films,Not Rated,"$39,673 ","4,855",Drama
Repentance,28-Feb-14,Codeblack Enterta�,R,"$1,189,612 ","145,607",Thriller/Suspense
The Bag Man,28-Feb-14,Cinedigm,R,"$56,574 ","6,924",Thriller/Suspense
300: Rise of an Empire,7-Mar-14,Warner Bros.,R,"$106,580,051 ","13,045,293",Action
Mr. Peabody & Sherman,7-Mar-14,20th Century Fox,PG,"$111,506,430 ","13,648,277",Adventure
Xi you xiang mo pian,7-Mar-14,Magnolia Pictures,PG-13,"$18,058 ","2,210",Adventure
War of the World's Goliath,7-Mar-14,Anderson Digital,PG-13,"$13,385 ","1,638",Adventure
The Grand Budapest Hotel,7-Mar-14,Fox Searchlight,R,"$58,850,714 ","7,203,269",Comedy
The Grand Budapest Hotel,7-Mar-14,Fox Searchlight,R,"$225,305 ","26,727",Comedy
The Face of Love,7-Mar-14,IFC Films,PG-13,"$385,069 ","47,132",Drama
Avant l'hiver,7-Mar-14,Mongrel Media,Not Rated,"$53,970 ","6,605",Drama
Bethlehem,7-Mar-14,Adopt Films,Not Rated,"$127,115 ","15,558",Thriller/Suspense
Grand Piano,7-Mar-14,Magnolia Pictures,R,"$22,555 ","2,760",Thriller/Suspense
Need for Speed,14-Mar-14,Walt Disney,PG-13,"$43,568,507 ","5,332,742",Action
Tiger & Bunny the Movie: Th…,14-Mar-14,Eleven Arts,Not Rated,"$61,562 ","7,535",Action
Tyler Perry's The Single Mo…,14-Mar-14,Lionsgate,PG-13,"$15,995,891 ","1,957,881",Comedy
Bad Words,14-Mar-14,Focus Features,R,"$7,779,614 ","952,217",Comedy
The Art of the Steal,14-Mar-14,RADiUS-TWC,R,"$61,446 ","7,520",Comedy
Veronica Mars,14-Mar-14,Warner Bros.,PG-13,"$3,322,127 ","406,625",Drama
Le Week-End,14-Mar-14,Music Box Films,R,"$2,225,098 ","272,349",Drama
The Word,14-Mar-14,Scarlet Sky Produ…,Not Rated,"$3,648 ",446,Drama
The Right Kind of Wrong,14-Mar-14,Magnolia Pictures,R,"$2,098 ",256,Drama
Enemy,14-Mar-14,A24,R,"$1,005,824 ","123,111",Thriller/Suspense
Divergent,21-Mar-14,Lionsgate,PG-13,"$150,947,895 ","18,475,874",Adventure
Muppets Most Wanted,21-Mar-14,Walt Disney,PG,"$51,178,893 ","6,264,246",Adventure
Quai d’Orsay,21-Mar-14,,Not Rated,"$12,027 ","1,472",Comedy
God’s Not Dead,21-Mar-14,Pure Flix Enterta…,PG,"$60,755,732 ","7,436,442",Drama
50 to 1,21-Mar-14,Ten Furlongs,PG-13,"$1,069,454 ","130,900",Drama
Nymphomaniac: Volume I,21-Mar-14,Magnolia Pictures,Not Rated,"$785,896 ","96,192",Drama
Nymphomaniac: Volume II,21-Mar-14,Mongrel Media,Not Rated,"$327,167 ","40,044",Drama
Rob the Mob,21-Mar-14,Alchemy,R,"$206,909 ","25,325",Drama
Le temps de l'aventure,21-Mar-14,Distrib Films,Not Rated,"$75,531 ","9,244",Drama
Blood Ties,21-Mar-14,Roadside Attractions,R,"$42,472 ","5,198",Drama
It Felt Like Love,21-Mar-14,Variance Films,Not Rated,"$33,817 ","4,139",Drama
Cheap Thrills,21-Mar-14,Drafthouse Films,Not Rated,"$59,424 ","7,273",Thriller/Suspense
Sabotage,28-Mar-14,Open Road,R,"$10,508,518 ","1,286,232",Action
Serbuan maut 2: Berandal,28-Mar-14,Sony Pictures Cla…,R,"$2,625,803 ","321,395",Action
Noah,28-Mar-14,Paramount Pictures,PG-13,"$101,200,044 ","12,386,786",Drama
Cesar Chavez,28-Mar-14,Lionsgate,PG-13,"$5,571,497 ","681,945",Drama
Breathe In,28-Mar-14,Cohen Media Group,R,"$88,100 ","10,783",Drama
"No God, No Master",28-Mar-14,Monterey Media,PG-13,"$6,796 ",831,Drama
Hide Your Smiling Faces,28-Mar-14,TriBeca Films,Not Rated,"$3,576 ",437,Drama
Refuge,28-Mar-14,Strand,Not Rated,"$2,554 ",312,Drama
Locker 13,28-Mar-14,Brothers' Ink Pro�,R,"$3,496 ",427,Thriller/Suspense
Dom Hemingway,2-Apr-14,Fox Searchlight,R,"$523,511 ","64,077",Comedy
Captain America: The Winter…,4-Apr-14,Walt Disney,PG-13,"$259,746,958 ","31,792,773",Action
Main Tera Hero,4-Apr-14,Eros Entertainment,Not Rated,"$274,579 ","33,608",Comedy
9 mois ferme,4-Apr-14,Mongrel Media,Not Rated,"$154,485 ","18,908",Comedy
Alan Partridge,4-Apr-14,Magnolia Pictures,R,"$153,426 ","18,779",Comedy
Les Infideles,4-Apr-14,Weinstein Co.,R,"$9,552 ","1,169",Comedy
De l'autre côté du périph,4-Apr-14,Weinstein Co.,R,"$8,689 ","1,063",Comedy
Frankie & Alice,4-Apr-14,CODEBLACK Films/L…,R,"$706,547 ","86,480",Drama
Ilo Ilo,4-Apr-14,Film Movement,Not Rated,"$54,071 ","6,618",Drama
Afflicted,4-Apr-14,CBS Films,R,"$121,179 ","14,832",Horror
Afflicted,4-Apr-14,CBS Films,R,"$121,179 ","14,832",Horror
Under the Skin,4-Apr-14,A24,R,"$2,614,251 ","319,981",Thriller/Suspense
Jinn,4-Apr-14,Freestyle Releasing,PG-13,"$202,348 ","24,767",Thriller/Suspense
Alien Abduction,4-Apr-14,IFC Midnight,Not Rated,"$12,087 ","1,479",Thriller/Suspense
