Movie,"Release
Date",Theatrical Distributor,MPAA/Rating,Gross,Tickets Sold,Genre
Ellie Parker,11-Nov-05,Strand,Not Rated,"$6,648 ","1,014",Comedy
Pride & Prejudice,11-Nov-05,Focus Features,PG,"$4,590,002 ","700,763",Drama
Bee Season,11-Nov-05,Fox Searchlight,PG-13,"$31,225 ","4,767",Drama
"Buongiorno, notte",11-Nov-05,WellSpring,Not Rated,"$3,471 ",529,Drama
The Syrian Bride,16-Nov-05,Koch Lorber Films,Not Rated,"$312,063 ","47,643",Comedy
Breakfast on Pluto,16-Nov-05,Sony Pictures Cla�,R,"$456,787 ","69,738",Drama
Harry Potter and the Goblet�,18-Nov-05,Warner Bros.,PG-13,"$14,880,404 ","2,271,817",Adventure
Walk the Line,18-Nov-05,20th Century Fox,PG-13,"$27,776,963 ","4,240,757",Drama
The Aryan Couple,18-Nov-05,"Fame, Inc.",PG-13,"$290,211 ","44,307",Drama
La femme de Gilles,18-Nov-05,Cinema Guild,Not Rated,"$21,660 ","3,306",Drama
Private,18-Nov-05,Typecast Releasing,Not Rated,"$5,775 ",881,Drama
"Yours, Mine and Ours",23-Nov-05,Paramount Pictures,PG,"$2,626,533 ","400,997",Comedy
Just Friends,23-Nov-05,New Line,PG-13,"$1,102,979 ","168,393",Comedy
The Libertine,23-Nov-05,Weinstein Co.,R,"$4,807,261 ","733,932",Drama
Syriana,23-Nov-05,Warner Bros.,R,"$13,099,616 ","1,999,941",Thriller/Suspense
Mrs. Palfrey at the Claremont,25-Nov-05,Jour de Fete,Not Rated,"$1,646,650 ","251,396",Drama
Down to the Bone,25-Nov-05,Laemmle/Zeller Film,Not Rated,"$6,193 ",945,Drama
Aeon Flux,2-Dec-05,Paramount Pictures,PG-13,"$914,638 ","139,639",Action
The World's Fastest Indian,7-Dec-05,Magnolia Pictures,PG-13,"$5,128,124 ","782,919",Drama
The Chronicles of Narnia: T�,9-Dec-05,Walt Disney,PG,"$74,033,080 ","11,302,760",Adventure
Mrs. Henderson Presents,9-Dec-05,Weinstein Co.,R,"$10,614,272 ","1,620,499",Comedy
Go For Zucker,9-Dec-05,First Run Features,Not Rated,"$74,000 ","11,297",Comedy
Brokeback Mountain,9-Dec-05,Focus Features,R,"$69,169,010 ","10,560,154",Drama
Memoirs of a Geisha,9-Dec-05,Sony Pictures,PG-13,"$28,846,946 ","4,404,113",Drama
Marebito,9-Dec-05,Tartan Films,Not Rated,"$7,661 ","1,169",Horror
King Kong,14-Dec-05,Universal,PG-13,"$49,574,715 ","7,568,658",Adventure
Los tres entierros de Melqu�,14-Dec-05,Sony Pictures Cla�,R,"$4,996,040 ","762,754",Drama
The Family Stone,16-Dec-05,20th Century Fox,PG-13,"$15,893,227 ","2,426,446",Comedy
Bluff Master,16-Dec-05,UTV Communications,Not Rated,"$140,224 ","21,408",Comedy
Cheaper by the Dozen 2,21-Dec-05,20th Century Fox,PG,"$32,258,142 ","4,924,907",Adventure
Fun With Dick And Jane,21-Dec-05,Sony Pictures,PG-13,"$50,445,142 ","7,701,548",Comedy
The White Countess,21-Dec-05,Sony Pictures Cla�,PG-13,"$1,486,685 ","226,974",Drama
The Ringer,23-Dec-05,Fox Searchlight,PG-13,"$15,646,622 ","2,388,797",Comedy
Cach�,23-Dec-05,Sony Pictures Cla�,R,"$3,443,354 ","525,702",Drama
The Intruder,23-Dec-05,WellSpring,Not Rated,"$29,391 ","4,487",Drama
Munich,23-Dec-05,Universal,R,"$33,108,545 ","5,054,739",Thriller/Suspense
The New World,25-Dec-05,New Line,PG-13,"$12,555,622 ","1,916,888",Adventure
Rumor Has It,25-Dec-05,Warner Bros.,PG-13,"$18,556,105 ","2,832,993",Comedy
Casanova,25-Dec-05,Walt Disney,R,"$10,412,589 ","1,589,708",Drama
Wolf Creek,25-Dec-05,Weinstein Co.,R,"$4,029,778 ","615,233",Horror
Match Point,28-Dec-05,Dreamworks SKG,R,"$22,489,384 ","3,433,493",Thriller/Suspense
The Matador,30-Dec-05,Weinstein Co.,R,"$12,520,155 ","1,911,474",Thriller/Suspense
BloodRayne,6-Jan-06,Romar,R,"$2,405,420 ","367,239",Action
Grandma�s Boy,6-Jan-06,20th Century Fox,R,"$6,090,172 ","929,797",Comedy
Fateless,6-Jan-06,ThinkFilm,R,"$196,857 ","30,054",Drama
Hostel,6-Jan-06,Lionsgate,R,"$47,326,473 ","7,225,415",Horror
Hoodwinked,13-Jan-06,Weinstein Co.,PG,"$51,386,611 ","7,845,284",Adventure
Last Holiday,13-Jan-06,Paramount Pictures,PG-13,"$38,399,961 ","5,862,589",Comedy
Film Geek,13-Jan-06,First Run Features,Not Rated,"$17,341 ","2,647",Comedy
Glory Road,13-Jan-06,Walt Disney,PG,"$42,647,449 ","6,511,060",Drama
Tristan & Isolde,13-Jan-06,20th Century Fox,PG-13,"$14,734,633 ","2,249,562",Drama
Underworld: Evolution,20-Jan-06,Sony Pictures,R,"$62,318,875 ","9,514,332",Action
Looking for Comedy in the M�,20-Jan-06,Warner Independent,PG-13,"$887,416 ","135,483",Comedy
End of the Spear,20-Jan-06,M Power Releasing,PG-13,"$11,748,661 ","1,793,688",Drama
Transamerica,20-Jan-06,Weinstein Co.,R,"$9,015,303 ","1,376,382",Drama
Nanny McPhee,27-Jan-06,Universal,PG,"$47,279,279 ","7,218,210",Adventure
Big Momma's House 2,27-Jan-06,20th Century Fox,PG-13,"$70,165,972 ","10,712,362",Comedy
Tristram Shandy: A Cock and�,27-Jan-06,Picturehouse,R,"$1,253,413 ","191,360",Comedy
Annapolis,27-Jan-06,Walt Disney,PG-13,"$17,127,992 ","2,614,960",Drama
Rang De Basanti,27-Jan-06,UTV Communications,Not Rated,"$2,197,694 ","335,525",Drama
Bubble,27-Jan-06,Magnolia Pictures,R,"$145,382 ","22,195",Drama
Manderlay,27-Jan-06,IFC Films,Not Rated,"$74,205 ","11,329",Drama
La Petite J�rusalem,27-Jan-06,Kino International,Not Rated,"$53,580 ","8,180",Drama
Suits on the Loose,3-Feb-06,Halestone,PG,"$79,470 ","12,132",Comedy
The Tollbooth,3-Feb-06,Castle Hill Produ�,Not Rated,"$4,526 ",690,Comedy
Something New,3-Feb-06,Focus Features,PG-13,"$11,468,568 ","1,750,926",Drama
A Good Woman,3-Feb-06,Lionsgate,PG,"$223,144 ","34,067",Drama
